cedula_caf	POS	DESCUENTO_DFA	NEG
C9-06-05	130	0	0
C9-06-05	10	0	0
C9-06-05	120	0	0
C0-03-50	100	0	0
C0-03-50	100	0	0
C0-04-97	558	-111,6	0
C0-03-48	11,2	0	0
C0-03-48	910	0	0
C0-03-48	6,72	0	0
C0-05-02	5,6	0	0
C0-05-02	2,24	0	0
C0-05-02	90	0	0
C0-05-02	2,24	0	0
C0-02-11	2,24	0	0
C0-02-11	2,24	0	0
C0-03-89	540	0	0
C9-06-01	120	0	0
C9-06-01	120	0	0
C0-03-52	270	-36	0
C8-06-08	5,6	0	0
C8-06-08	2,24	0	0
C8-06-08	558	-111,6	0
C0-00-63	279	0	0
C0-04-49	2484	0	0
C9-05-69	10	0	0
C9-05-69	10	0	0
C0-04-49	11,2	0	0
C0-04-49	2,24	0	0
C9-05-74	120	0	0
C9-05-74	120	0	0
C0-05-64	316	0	0
C0-05-64	60	0	0
C0-05-64	60	0	0
C0-05-64	280	0	0
C0-05-64	36	0	0
C0-02-28	11,2	0	0
C0-02-28	2,24	0	0
C9-05-67	120	0	0
C9-05-67	120	0	0
C8-05-07	279	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C9-05-70	10	0	0
C9-05-70	10	0	0
C9-05-71	10	0	0
C9-05-71	10	0	0
Q8-01-64	558	0	0
C9-05-71	120	0	0
C9-05-71	120	0	0
C9-05-72	10	0	0
C9-05-72	10	0	0
C9-06-03	10	0	0
C9-06-03	10	0	0
C9-06-02	10	0	0
C9-06-02	10	0	0
C9-05-78	120	0	0
C9-05-78	120	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C9-05-73	10	0	0
C9-05-73	10	0	0
C0-03-56	270	-54	0
C0-03-09	540	0	0
C0-03-04	270	-18	0
C0-00-16	2,24	0	0
C0-00-16	2,24	0	0
C8-06-08	279	-55,8	0
C0-02-35	2160	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C9-05-74	10	0	0
C9-05-74	10	0	0
C9-05-75	10	0	0
C9-05-75	10	0	0
C9-05-76	10	0	0
C9-05-76	10	0	0
C0-03-50	4,48	0	0
C0-03-50	2,24	0	0
C0-05-57	120	0	0
C0-05-57	120	0	0
C0-02-46	30	0	0
C0-02-46	30	0	0
C0-00-71	2,24	0	0
C0-00-71	2,24	0	0
C0-05-08	558	-279	0
C0-00-74	4,48	0	0
C0-00-74	4,48	0	0
C9-05-77	326	0	0
C9-05-77	10	0	0
C9-05-77	60	0	0
C9-05-77	60	0	0
C9-05-77	280	0	0
C9-05-77	36	0	0
C0-01-39	2,24	0	0
C0-01-39	2,24	0	0
C9-06-02	120	0	0
C9-06-02	120	0	0
C9-06-03	120	0	0
C9-06-03	120	0	0
C9-05-68	120	0	0
C9-05-68	120	0	0
C9-05-78	10	0	0
C9-05-78	10	0	0
C9-05-79	10	0	0
C9-05-79	10	0	0
C0-02-92	2,24	0	0
C0-05-08	5,6	0	0
C0-05-08	2,24	0	0
C9-06-04	120	0	0
C9-06-04	120	0	0
C0-05-44	316	0	0
C0-05-44	60	0	0
C0-05-44	60	0	0
C0-05-44	280	0	0
C0-05-44	36	0	0
C0-03-51	8,96	0	0
C0-03-51	4,48	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C9-05-80	130	0	0
C9-05-80	10	0	0
C9-05-80	120	0	0
C9-05-81	10	0	0
C9-05-81	10	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C9-05-81	120	0	0
C9-05-81	120	0	0
C0-02-63	2,24	0	0
C0-02-63	2,24	0	0
C0-00-13	11,2	0	0
C0-00-13	2,24	0	0
C9-05-99	10	0	0
C9-05-99	10	0	0
C0-03-85	258	0	0
C0-03-85	150	0	0
C0-03-85	108	0	0
C0-03-85	1080	0	0
C9-05-82	446	0	0
C9-05-82	10	0	0
C9-05-82	60	0	0
C9-05-82	60	0	0
C9-05-82	280	0	0
C9-05-82	120	0	0
C9-05-82	36	0	0
C0-03-93	2,24	0	0
C0-03-93	2,24	0	0
C9-05-83	10	0	0
C9-05-83	10	0	0
C9-05-84	130	0	0
C9-05-84	10	0	0
C9-05-84	120	0	0
C9-05-76	316	0	0
C9-05-76	60	0	0
C9-05-76	60	0	0
C9-05-76	280	0	0
C9-05-76	36	0	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C0-05-28	2,24	0	0
C9-05-69	436	0	0
C9-05-69	60	0	0
C9-05-69	60	0	0
C9-05-69	280	0	0
C9-05-69	120	0	0
C9-05-69	36	0	0
C9-05-75	120	0	0
C9-05-75	120	0	0
C0-05-25	270	-46,8	0
C9-99-99	10	0	0
C9-99-99	10	0	0
C0-03-65	270	0	0
C8-05-21	5,6	0	0
C8-05-21	10	0	0
C8-05-21	8,96	0	0
C0-02-75	2,24	0	0
C0-02-75	2,24	0	0
C0-02-75	11,2	0	0
C0-02-75	2,24	0	0
